Drowsiness detected | Time: 2026-09-10 02:00:52 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:05 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:12 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:16 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:20 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:25 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:33 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:34 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:01:38 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:23 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:29 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:33 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:42 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:45 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:11:56 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:09 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:10 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:20 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:21 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:27 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:34 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:39 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:49 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:49 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:49 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:49 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:49 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:50 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:12:50 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:13:04 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:20:52 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:20:58 | Duration: 0.00 seconds
Drowsiness detected | Time: 2026-09-10 02:21:08 | Duration: 0.00 seconds
